Категория;Название;Картинки;Артикул;Описание;Характеристика
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y1614-1 16 дюймів  рожевий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/45/76/27645/images/60244/60244.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/45/76/27645/images/60245/60245.55x0.jpg;Y1614-1;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 73 см.  max= 81 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу  Висота min= 56 см.  max= 66 см.

Підсідельний штир Хромована сталь  регулюється по висоті затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  сталь

Гальма Передні-кліщовий  задній ножний

Колеса Гума YIDA / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Багажник Є  фарбована сталь

Крила Преднее/заднє  фарбована сталь

Дод. Комплектація Допоміжні бокові колеса  дзвінок  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 10 2 кг";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Упаковка: Картонна коробка | Вид: Двоколісні | Бренд: PROF1 | Стать: для дівчаток | Країна реєстрації бренду: Китай | Тип гальма: Передній - кліщовий | Задній - ножний | Ручне гальмо: Так | Стан: нове | Висота сидіння: 56-66 см | Додаткова комплектація: Додаткові колеса | Вік: Від 4-х років | Матеріал коліс: Гума | Країна-виробник товару: Китай | Матеріал: Комбінований | Кількість коліс: 2 | Тип: Велосипед | Матеріал рами: Сталь | Діаметр колеса: 16"" | Гарантія: 14 днів | Колір: рожевий | Висота рульової стійки: 73-81 см | Вікова група: Від 4 років"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y16214 16 дюймів  жовтий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/52/76/27652/images/60276/60276.970.webp;Y16214;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 74 см.  max= 78 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу з дод. пластиковим фіксатором  висота min= 50 см.  max= 60 см.

Підсідельний штир Фарбована сталь  регулюється по висоті  затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні: кліщовий  задній: ножний

Колеса Гума FX / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Багажник Фарбована сталь

Крила Переднє/заднє: фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 9.7 кг";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Висота рульової стійки: 74-78 см | Діаметр колеса: 16"" | Тип: Велосипед | Вікова група: Від 4 років | Гарантія: 14 днів | Колір: жовтий | Упаковка: Картонна коробка | Вид: Двоколісні | Бренд: PROF1 | Стать: унісекс | Країна реєстрації бренду: Китай | Стан: нове | Тип гальма: Передній - кліщовий | Задній - ножний | Додаткова комплектація: Додаткові колеса | Висота сидіння: 50-60 см | Ручне гальмо: Так | Вік: Від 4-х років | Матеріал коліс: Гума | Країна-виробник товару: Китай | Кількість коліс: 2 | Матеріал рами: Сталь | Матеріал: Комбінований"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y1614 16 дюймів  рожевий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/44/76/27644/images/60242/60242.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/44/76/27644/images/60243/60243.55x0.jpg;Y1614;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 73 см.  max= 81 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу  Висота min= 56 см.  max= 66 см.

Підсідельний штир Хромована сталь  регулюється по висоті затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  сталь

Гальма Передні-кліщовий  задній ножний

Колеса Гума YIDA / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Багажник Є  фарбована сталь

Крила Преднее/заднє  фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 10 2 кг";"Рекомендована ціна: 0 | Вага товару: 11.5 | Габарити: довжина: 41 | Габарити: ширина: 16 | Габарити: висота: 68 | Кількість коліс: 2 | Матеріал рами: Сталь | Упаковка: Картонна коробка | Вид: Двоколісні | Діаметр колеса: 16"" | Висота рульової стійки: 73-81 см | Стать: для дівчаток | Бренд: PROF1 | Тип гальма: Передній - кліщовий | Задній - ножний | Стан: нове | Країна реєстрації бренду: Китай | Ручне гальмо: Так | Висота сидіння: 56-66 см | Вік: Від 4-х років | Додаткова комплектація: Додаткові колеса | Матеріал: Комбінований | Матеріал коліс: Гума | Тип: Велосипед | Країна-виробник товару: Китай | Гарантія: 14 днів | Колір: рожевий | Вікова група: Від 4 років"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y16225 16 дюймів  салатовий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/61/76/27661/images/60316/60316.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/61/76/27661/images/60317/60317.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/61/76/27661/images/60318/60318.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/61/76/27661/images/60319/60319.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/61/76/27661/images/60320/60320.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/61/76/27661/images/60321/60321.55x0.jpg;Y16225;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь. висота min= 74 см.  max= 78 см.

Рульові Прогумовані накладки гріпси

Висота сидіння min= 52 см.  max= 59 см.

Підсідельний штир Фарбована сталь  регулюється по висоті  затиск: ексцентрик

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні-кліщовий  задній ножний

Колеса Гума XIEMEI/ 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Багажник Є  фарбована сталь

Крила Переднє/заднє  фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 10 кг";"Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Рекомендована ціна: 0 | Країна реєстрації бренду: Китай | Матеріал: Комбінований | Додаткова комплектація: Додаткові колеса | Тип: Велосипед | Вікова група: Від 4 років | Гарантія: 14 днів | Колір: салатовий | Матеріал коліс: Гума | Вид: Двоколісні | Країна-виробник товару: Китай | Упаковка: Картонна коробка | Стать: унісекс | Кількість коліс: 2 | Матеріал рами: Сталь | Тип гальма: Передній - кліщовий | Задній - ножний | Діаметр колеса: 16"" | Ручне гальмо: Так | Висота рульової стійки: 74-78 см | Висота сидіння: 52-59 см | Стан: нове | Бренд: PROF1 | Вік: Від 4-х років"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y16223 16 дюймів  синій - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/57/76/27657/images/60293/60293.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/57/76/27657/images/60294/60294.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/57/76/27657/images/60295/60295.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/57/76/27657/images/60296/60296.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/57/76/27657/images/60297/60297.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/57/76/27657/images/60298/60298.55x0.jpg;Y16223;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь. висота min= 74 см.  max= 78 см.

Рульові Прогумовані накладки гріпси

Висота сидіння min= 52 см.  max= 59 см.

Підсідельний штир Фарбована сталь  регулюється по висоті  затиск: ексцентрик

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні-кліщовий  задній ножний

Колеса Гума XIEMEI/ 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Багажник Є  фарбована сталь

Крила Переднє/заднє  фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 10 кг";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Вид: Двоколісні | Упаковка: Картонна коробка | Матеріал коліс: Гума | Країна-виробник товару: Китай | Стать: унісекс | Кількість коліс: 2 | Матеріал рами: Сталь | Висота рульової стійки: 74-78 см | Діаметр колеса: 16"" | Стан: нове | Вік: Від 4-х років | Бренд: PROF1 | Країна реєстрації бренду: Китай | Тип гальма: Передній - кліщовий | Задній - ножний | Висота сидіння: 52-59 см | Ручне гальмо: Так | Матеріал: Комбінований | Тип: Велосипед | Вікова група: Від 4 років | Гарантія: 14 днів | Колір: синій | Додаткова комплектація: Додаткові колеса"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y1621-1 16 дюймів  рожевий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/49/76/27649/images/60266/60266.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/49/76/27649/images/60267/60267.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/49/76/27649/images/60268/60268.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/49/76/27649/images/60269/60269.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/49/76/27649/images/60270/60270.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/49/76/27649/images/60271/60271.55x0.jpg;Y1621-1;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 76 см.  max= 81 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу з дод. пластиковим фіксатором  висота min= 52 см.  max= 62 см.

Підсідельний штир Хромированая сталь  регулюється по висоті  затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні: кліщовий  задній: ножний

Колеса Гума FX / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Крила Переднє/заднє: фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  пензлики на кермо  декор на спиці  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 9 7 кг";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Кількість коліс: 2 | Матеріал рами: Сталь | Упаковка: Картонна коробка | Вид: Двоколісні | Діаметр колеса: 16"" | Висота рульової стійки: 76-81 см | Стать: для дівчаток | Бренд: PROF1 | Тип гальма: Передній - кліщовий | Задній - ножний | Стан: нове | Країна реєстрації бренду: Китай | Ручне гальмо: Так | Висота сидіння: 52-62 см | Вік: Від 4-х років | Додаткова комплектація: Додаткові колеса | Матеріал: Комбінований | Матеріал коліс: Гума | Тип: Велосипед | Країна-виробник товару: Китай | Гарантія: 14 днів | Колір: рожевий | Вікова група: Від 4 років"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y1625 16 дюймів  рожевий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/69/76/27669/images/60351/60351.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/69/76/27669/images/60352/60352.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/69/76/27669/images/60353/60353.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/69/76/27669/images/60354/60354.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/69/76/27669/images/60355/60355.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/69/76/27669/images/60356/60356.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/69/76/27669/images/60357/60357.55x0.jpg;Y1625;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 76 см.  max= 81 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу з дод. пластиковим фіксатором  висота min= 52 см.  max= 62 см.

Підсідельний штир Хромированая сталь  регулюється по висоті  затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні: кліщовий  задній: ножний

Колеса Гума FX / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Крила Переднє/заднє: фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  пензлики на кермо  декор на спиці  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 9 7 кг";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Країна-виробник товару: Китай | Вид: Двоколісні | Упаковка: Картонна коробка | Кількість коліс: 2 | Матеріал рами: Сталь | Стать: для дівчаток | Діаметр колеса: 16"" | Висота рульової стійки: 76-81 см | Стан: нове | Бренд: PROF1 | Країна реєстрації бренду: Китай | Вік: Від 4-х років | Додаткова комплектація: Додаткові колеса | Тип гальма: Передній - кліщовий | Задній - ножний | Матеріал: Комбінований | Ручне гальмо: Так | Висота сидіння: 52-62 см | Тип: Велосипед | Вікова група: Від 4 років | Матеріал коліс: Гума | Гарантія: 14 днів | Колір: рожевий"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y1616 16 дюймів  рожевий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/46/76/27646/images/60259/60259.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/76/27646/images/60260/60260.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/76/27646/images/60261/60261.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/76/27646/images/60262/60262.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/76/27646/images/60263/60263.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/76/27646/images/60264/60264.55x0.png | https://royaltoys.com.ua/wa-data/public/shop/products/46/76/27646/images/60265/60265.55x0.png;Y1616;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min=73 см.  max=81 см.

Рульові накладки Прогумовані грипси

Сидіння Кожзам покращеного типу  Висота min = 56 см.  max = 66 см.

Підсідельний штир Хромована сталь  регулюється по висоті  затискач: болт

Каретка Розбірна  на насипних підшипниках

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-подібний  сталь.

Гальма Передньо-кліщові  задній-ножний

Колеса Гума YIDA / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Багажник Є  фарбована сталь

Крила Переднє/заднє  фарбована сталь

Дод. Комплектація Допоміжні бічні колеса  дзвінок  катафоти (передні/задні/колісні)  м'які рульові накладки

Вага 10 2 кг.";"Габарити: ширина: 0 | Габарити: висота: 0 | Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Тип: Велосипед | Додаткова комплектація: Додаткові колеса | Гарантія: 14 днів | Колір: рожевий | Вікова група: Від 4 років | Матеріал коліс: Гума | Упаковка: Картонна коробка | Вид: Двоколісні | Країна-виробник товару: Китай | Кількість коліс: 2 | Стать: для дівчаток | Матеріал рами: Сталь | Висота рульової стійки: 73-81 см | Діаметр колеса: 16"" | Тип гальма: Передній - кліщовий | Задній - ножний | Стан: нове | Ручне гальмо: Так | Висота сидіння: 56-66 см | Вік: Від 4-х років | Бренд: PROF1 | Країна реєстрації бренду: Китай | Матеріал: Комбінований"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y16242S-1 16 дюймів  рожевий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/66/76/27666/images/60340/60340.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/66/76/27666/images/60341/60341.55x0.jpg;Y16242S-1;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 76 см.  max= 81 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу з дод. пластиковим фіксатором  висота min= 52 см.  max= 62 см.

Підсідельний штир Хромированая сталь  регулюється по висоті  затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні: кліщовий  задній: ножний

Колеса Гума FX / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Крила Переднє/заднє: фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  пензлики на кермо  декор на спиці  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 9 7 кг";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Висота рульової стійки: 76-81 см | Діаметр колеса: 16"" | Матеріал: Комбінований | Тип: Велосипед | Вікова група: Від 4 років | Бренд: PROF1 | Гарантія: 14 днів | Колір: рожевий | Країна реєстрації бренду: Китай | Вид: Двоколісні | Упаковка: Картонна коробка | Стать: для дівчаток | Додаткова комплектація: Додаткові колеса | Матеріал коліс: Гума | Країна-виробник товару: Китай | Стан: нове | Вік: Від 4-х років | Тип гальма: Передній - кліщовий | Задній - ножний | Кількість коліс: 2 | Ручне гальмо: Так | Матеріал рами: Сталь | Висота сидіння: 52-62 см"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y16241-1 16 дюймів  рожевий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/64/76/27664/images/60331/60331.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/64/76/27664/images/60332/60332.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/64/76/27664/images/60333/60333.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/64/76/27664/images/60334/60334.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/64/76/27664/images/60335/60335.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/64/76/27664/images/60336/60336.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/64/76/27664/images/60337/60337.55x0.jpg;Y16241-1;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 76 см.  max= 81 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу з дод. пластиковим фіксатором  висота min= 52 см.  max= 62 см.

Підсідельний штир Хромированая сталь  регулюється по висоті  затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні: кліщовий  задній: ножний

Колеса Гума FX / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Крила Переднє/заднє: фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  пензлики на кермо  декор на спиці  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 9 7 кг";"Вага товару: 11.4 | Габарити: довжина: 43 | Габарити: ширина: 17 | Габарити: висота: 91 | Рекомендована ціна: 0 | Колір: рожевий | Бренд: PROF1 | Вікова група: Від 4 років | Гарантія: 14 днів | Країна реєстрації бренду: Китай | Упаковка: Картонна коробка | Вид: Двоколісні | Стать: для дівчаток | Тип гальма: Передній - кліщовий | Задній - ножний | Додаткова комплектація: Додаткові колеса | Висота сидіння: 52-62 см | Ручне гальмо: Так | Матеріал коліс: Гума | Країна-виробник товару: Китай | Стан: нове | Кількість коліс: 2 | Вік: Від 4-х років | Матеріал рами: Сталь | Висота рульової стійки: 76-81 см | Діаметр колеса: 16"" | Матеріал: Комбінований | Тип: Велосипед"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y16321-1 16 дюймів  салатовий - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/82/76/27682/images/60412/60412.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/82/76/27682/images/60413/60413.55x0.jpg;Y16321-1;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 74 см.  max= 78 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу з дод. пластиковим фіксатором  висота min= 52 см.  max= 62 см.

Підсідельний штир Фарбована сталь  регулюється по висоті  затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні: кліщовий  задній: ножний

Колеса Гума FX / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Крила Переднє/заднє: пластик

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 9 4 кг";"Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Рекомендована ціна: 0 | Країна реєстрації бренду: Китай | Матеріал: Комбінований | Додаткова комплектація: Додаткові колеса | Тип: Велосипед | Вікова група: Від 4 років | Гарантія: 14 днів | Колір: салатовий | Матеріал коліс: Гума | Вид: Двоколісні | Країна-виробник товару: Китай | Упаковка: Картонна коробка | Тип гальма: Передній - кліщовий | Задній - ножний | Стать: унісекс | Кількість коліс: 2 | Ручне гальмо: Так | Висота сидіння: 52-62 см | Матеріал рами: Сталь | Висота рульової стійки: 74-78 см | Діаметр колеса: 16"" | Стан: нове | Бренд: PROF1 | Вік: Від 4-х років"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y1643 16 дюймів  чорний - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/89/76/27689/images/60426/60426.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/89/76/27689/images/60427/60427.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/89/76/27689/images/60428/60428.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/89/76/27689/images/60429/60429.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/89/76/27689/images/60430/60430.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/89/76/27689/images/60431/60431.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/89/76/27689/images/60432/60432.55x0.jpg;Y1643;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min=73 см.  max=81 см.

Рульові накладки Прогумовані грипси

Сидіння Кожзам покращеного типу  Висота min = 56 см.  max = 66 см.

Підсідельний штир Фарбована сталь  регулюється по висоті  затискач: болт

Каретка Розбірна  на насипних підшипниках

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-подібний  сталь.

Гальма Передньо-кліщові  задній-ножний

Колеса Гума YIDA / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Багажник Є  фарбована сталь

Крила Переднє/заднє  фарбована сталь

Дод. Комплектація Допоміжні бічні колеса  дзвінок  катафоти (передні/задні/колісні)  м'які рульові накладки

Вага 9 7 кг.";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Кількість коліс: 2 | Матеріал рами: Сталь | Тип гальма: Передній - кліщовий | Задній - ножний | Висота сидіння: 56-66 см | Діаметр колеса: 16"" | Ручне гальмо: Так | Матеріал: Комбінований | Висота рульової стійки: 73-81 см | Тип: Велосипед | Вікова група: Від 4 років | Гарантія: 14 днів | Колір: чорний | Вид: Двоколісні | Бренд: PROF1 | Упаковка: Картонна коробка | Країна реєстрації бренду: Китай | Стать: унісекс | Додаткова комплектація: Додаткові колеса | Стан: нове | Матеріал коліс: Гума | Вік: Від 4-х років | Країна-виробник товару: Китай"
Дитячі двоколісні велосипеди;Велосипед дитячий PROF1 Y1626 16 дюймів  фуксія - гурт(опт)  дропшиппінг;https://royaltoys.com.ua/wa-data/public/shop/products/75/76/27675/images/60389/60389.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/75/76/27675/images/60390/60390.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/75/76/27675/images/60391/60391.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/75/76/27675/images/60392/60392.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/75/76/27675/images/60393/60393.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/75/76/27675/images/60394/60394.55x0.jpg | https://royaltoys.com.ua/wa-data/public/shop/products/75/76/27675/images/60395/60395.55x0.jpg;Y1626;"Розмір колеса 16 дюймів

Рама/вилка Високоміцна сталь

Кермо 1-болтове кріплення  фарбована сталь  висота min= 76 см.  max= 81 см.

Рульові Прогумовані накладки гріпси

Сидіння Кожзам покращеного типу з дод. пластиковим фіксатором  висота min= 52 см.  max= 62 см.

Підсідельний штир Хромированая сталь  регулюється по висоті  затиск: болт

Каретка Розбірна  на насипних підшипниках 

Система шатунів Одноелементна зі знімною зіркою

Захист ланцюга Р-образна  фарбована сталь

Гальма Передні: кліщовий  задній: ножний

Колеса Гума FX / 16х2 125

Обода Фарбована сталь

Педалі Пластмаса з бічними відбивачами

Крила Переднє/заднє: фарбована сталь

Доп. Комплектація Допоміжні бокові колеса  дзвінок  ліхтарик  наклейки  пензлики на кермо  декор на спиці  катафоти (передні/задні/ колісні)  м'які накладки рульові

Вага 9 7 кг";"Рекомендована ціна: 0 | Вага товару: 0 | Габарити: довжина: 0 | Габарити: ширина: 0 | Габарити: висота: 0 | Матеріал коліс: Гума | Країна-виробник товару: Китай | Матеріал: Комбінований | Кількість коліс: 2 | Тип: Велосипед | Матеріал рами: Сталь | Вікова група: Від 4 років | Висота рульової стійки: 76-81 см | Гарантія: 14 днів | Колір: фуксія | Діаметр колеса: 16"" | Тип гальма: Передній - кліщовий | Задній - ножний | Вид: Двоколісні | Висота сидіння: 52-62 см | Упаковка: Картонна коробка | Ручне гальмо: Так | Бренд: PROF1 | Стать: для дівчаток | Країна реєстрації бренду: Китай | Стан: нове | Додаткова комплектація: Додаткові колеса | Вік: Від 4-х років"
